vacancy_id,vacancy_name,url,source,salary_from,salary_to,currency,location,company,skill_set,description,publication_date
39811076,"Senior DevOps/разработчик Python, Java, C++, .NET, FrontEnd, Android/iOS",https://hh.ru/vacancy/39811076,HH,3500,4400,USD,Швеция,Милославский Юрий Магомедович,"['python', 'java']","Удаленная работа с возможностью релокации в Швецию, город Гетеборг (2й по величине город). Компания doWhile Consulting Scandinavia AB, Sweden. Ищем senior'ов с различными стеками или их комбинациями: DevOps или разработчиков профессионально владеющих одним из языков: Python, Java, C++, .NET, FrontEnd, Android/iOS и другие для работы на внутренних и внешних проектах. з/п ~40 000 крон брутто, Условия при переезде:- оплачиваемый релокейшен пакет на семью (подготовка всех документов и переезд)- разрешено переезжать с партнером не состоя в браке- офис на берегу залива- двойное гражданство разрешено- паспорт через 5 лет Бонусы при переезде:- телефон на выбор и 2 сим (анлим пакет и data sim)- спорт компенсация 100%- дополнительная пенсия- лаптоп Thinkpad x1 и доп. оборудование на свой вкус- очки и проверка зрения- доп. мед страховка- помощь с жильем на первые 6 мес- упрощенная покупка фондов/акций с з/п и пенсии- индивидуальные бонусы Переехав год назад, от себя скажу, что если вам хочется спокойной жизни и чистейшей природы, свежего воздуха даже в городе, то лучше места не найти. Швеция не про большие города, хотя и есть такой - Стокгольм. Нет необходимости учить шведский (при желании государство оплатит вам курсы шведского) и в IT достаточно английского, в жизни 99% населения может говорить на английском.  ",2020-10-14
39289357,Разработчик C++,https://hh.ru/vacancy/39289357,HH,100000,220000,RUR,Москва,Neurus,[],"Ищем опытного C++ разработчика, готового влиться в дружный коллектив для решения задач, сопряженных с разработкой комплексных систем компьютерного зрения. Для нас важно:  высшее техническое образование – ИТ (либо эквивалентный ему опыт индустриальной разработки ПО) знание ОС Linux на уровне уверенного пользователя опыт разработки на C++ от 2 лет опыт разработки под ОС на базе GNU/Linux навыки разработки ПО на языках C++ и C для ОС на базе GNU/Linux умение пользоваться системой сборки CMake навыки работы с CI-инфраструктурой    Будет плюсом:  опыт разработки ПО для встраиваемых систем; опыт работы с мультимедийными фреймворками ffmpeg, gstreamer; опыт решения программных задач с использованием аналитической геометрии, линейной алгебры; опыт решения задач, связанных с машинным обучением.  С помощью систем компьютерного зрения мы решаем разнообразные задачи для ритейла и не только: контроль персонала, учет клиентопотока, распознавание товаров и многое другое. Поэтому среди ваших задач будут:  работа со стримингом мультимедийных потоков; разработка под встраиваемые устройства; работа с моделями компьютерного зрения.    Мы работаем удаленно, полный рабочий день с 9.00 до 18.00 по мск. Ожидаем, что новый член команды будет придерживаться того же графика.      ",2020-10-14
37676925,Программист С/C++,https://hh.ru/vacancy/37676925,HH,160000,,RUR,Москва,Никс,['sql'],"Требования:  знание принципов объектно-ориентированного программирования хорошее знание С/C++ знание WinAPI, технологии COM, библиотек доступа к данным базовое владение SQL, опыт работы с реляционными СУБД желательно знание .Net, GDI, ActiveX, ADO, DAO  Род деятельности:  разработка CRM систем разработка ERP систем построение хранилищ данных реализация алгоритмов полнотекстового поиска разработка электронных словарей  Условия:  рабочий день с 10 до 19 заработная плата от 160 000 руб. бесплатные обеды комфортабельное общежитие для иногородних Возможно первичное собеседование по скайпу NIX_HR(логин live:nixlab) ",2020-10-13
39811662,Программист С++,https://hh.ru/vacancy/39811662,HH,200000,250000,RUR,Москва,Cropix,"['python', 'sql', 'boost']","Обязанности:  участие в разработке программного продукта (клиент-серверное Windows-приложение) разработка бизнес-логики приложения (экранные формы, отчеты)  Технологии, используемые в проекте:  Visual C++ 2017, WinAPI, WTL, Boost, XML, Microsoft SQL Server  Требования:  отличное знание C++, Boost, WinAPI, XML знание T-SQL умение находить различные пути решения задач и выбирать наиболее эффективный ответственность  Будет большим плюсом:  знание C++11, C++14, WTL, Python, XPath опыт разработки продуктов для Enterprise  Условия работы:  удаленная работа общение по мессенджеру, почте, скайпу необходима возможность работать не менее 30 часов в неделю   ",2020-10-14
39760181,Программист C++/Qt по разработке мобильных приложений,https://hh.ru/vacancy/39760181,HH,100000,150000,RUR,Москва,Байтверк РУС,[],"Ищем программиста C++/Qt для разработки мобильных приложений. Мы компания Bytewerk (также известная как Jetcrypto) создаём финтех решения, объединяющие мир криптоволют и фиатных денег. Банкоматы банкоматы, POS-терминалы и др.   Требования к сотруднику:  Владеть C++ и Qt. Знать как послать HTTP-запрос и распарсить JSON в ответе. Видеть плохой интерфейс и понимать что его отличает от удобного.    Условия:  Удалённая работа или московском офис на выбор; Зарплата 100-150 тыс. рублей; Нет ""кровавого интерпрайза"" - все коллеги инженеры.    Будет плюсом:  Если есть опыт разработки мобильных приложений (но не критично); Исходники, которые можно глянуть. ",2020-10-15
38859494,C++ Developer,https://hh.ru/vacancy/38859494,HH,150000,200000,RUR,Санкт-Петербург,SunStrike Studios,[],"О компании: Компания «SunStrike Studios» занимается аутсорс разработкой компьютерных и мобильных игр.  Чем вы будете заниматься:   портировать крупные игровые проекты на современные платформы;   оптимизировать игровые проекты для слабого железа.   Наш идеальный кандидат:   имеет опыт разработки на C++ не менее 3-х лет, опыт разработки игр не менее 1 года;   умеет работать с графическими движками на C++, с OpenGL/DirectX и многопоточными приложениями.   Будет плюсом:   опыт работы с современными графическими API: DirectX12/Vulkan;   опыт работы с большими игровыми проектами, в том числе под консоли (PS/Xbox/Nintendo Switch).   Что мы предлагаем:   официальное оформление с первого рабочего дня;   ДМС;   50%-ую компенсацию профильного обучения;   курсы английского языка;   гибкое начало рабочего дня с 9.00 - 11.00.   Что вам нужно сделать:   пройти собеседование;   пройти тестовый период (2 дня, оплачиваются).  ",2020-10-13
39780911,Программист C++/Qt по разработке мобильных приложений,https://hh.ru/vacancy/39780911,HH,100000,150000,RUR,Санкт-Петербург,Байтверк РУС,[],"Ищем программиста C++/Qt для разработки мобильных приложений. Мы компания Bytewerk (также известная как Jetcrypto) создаём финтех решения, объединяющие мир криптоволют и фиатных денег. Банкоматы банкоматы, POS-терминалы и др. Требования к сотруднику:  Владеть C++ и Qt. Знать как послать HTTP-запрос и распарсить JSON в ответе. Видеть плохой интерфейс и понимать что его отличает от удобного.  Условия:  Удалённая работа ; Зарплата 100-150 тыс. рублей; Нет ""кровавого интерпрайза"" - все коллеги инженеры.  Будет плюсом:  Если есть опыт разработки мобильных приложений (но не критично); Исходники, которые можно глянуть. ",2020-10-13
39264973,Senior backend developer (C++\Python),https://hh.ru/vacancy/39264973,HH,270000,320000,RUR,Москва,Мобитех,['python'],"SmartPrice - уникальный проект, специализируемся на продаже и сертификации электроники, которая уже когда-то использовалась. Мы — команда предпринимателей, которая строит бизнес на культуре ReCommerce. Эта культура предполагает, что в мире существует очень много вещей, которые могут быть использованы повторно без потери качества. Мы активно растем в это непростое время и готовы предложить конкурентные условия на рынке труда. Будем рады совместному сотрудничеству и развитию! Мы ждем, что вы:- отлично владеете одним из языков: Python, C++;- хорошо владеете другим из того же списка языков;- понимаете классические алгоритмы и структуры данных;- хорошо знакомы с Unix-системами;- имеете опыт работы с большими проектами;- ответственны, самостоятельны и нацелены на результат, но при этом умеете работать в команде. Плюсом будет:- опыт проведения код-ревью;- опыт руководства командой или проектом;- желание участвовать в продуктовой работе. Вам предстоит:- заниматься разработкой самых разных внешних и внутренних сервисов и программных продуктов компании;- принимать активное участие в построении технологической инфраструктуры компании;- принимать активное участие в проработке архитектуры IT-системы;- проводить код-ревью;- с головой погрузиться в специфику продуктов компании;- помогать профессионально развиваться другим членам команды;- отвечать за порученные вам проекты, и прилагать все усилия для достижения результата в разумные сроки. Мы предлагаем:- Работу в БЦ класса В+ 7ONE (2 мин.от метро)- Полностью белую ЗП, оформление по ТК РФ;- Возможность профессионального и карьерного;- Чай, кофе, печеньки в офисе.  ",2020-10-13
39817494,C++ developer,https://hh.ru/vacancy/39817494,HH,,150000,RUR,Москва,Brunel Russia,[],Well known developer of software-enabled solutions to the global oil and gas industry is searching a specialist for the position C++ developer Responsibilities:  Full understanding of existing infrastructure of processing software Ability to debug the existing software and fix reported problems Optimization of existing algorithms and replacing them with new modern algorithms (refactoring) Development of the new engine Communication with support team Active involvement in Agile development process  Requirements:  Degree in computers/math/physics Good knowledge of C++ (1+ year of working experience) Ability of independent learning Good communication skills English – upper-intermediate  The company offers high level of salary and professional grow. Location - Moscow   ​​,2020-10-14
39831955,Junior embedded C/C++ developer,https://hh.ru/vacancy/39831955,HH,60000,,RUR,Нижний Новгород,SIGUR,"['git', 'stm32']","Компания Sigur ищет начинающего embedded C/C++ разработчика, готового присоединиться к нашей молодой и амбициозной R&D команде. Мы ждем от тебя: аккуратности, основательного подхода к делу, умения анализировать поставленные задачи, предусматривать и избегать возникновения сайд-эффектов/регрессий от внесения как чисто технических, так и архитектурных изменений в код. Нам нужен разработчик, имеющий твердую академическую базу по C/C++, желательно уже имеющий опыт написания кода для встраиваемых систем до 1 года, не боящийся аббревиатур SPI, UART, I2C, GPIO, умеющий решать задачи в условиях ограниченных CPU/Memory. Плюсами будут: знакомство с FreeRTOS, опыт разработки под STM32/NRF52, знание Cmake, Git, опыт работы в Task Management системе (Jira, YouTrack, etc.). У тебя будет несколько мест для развития своих скилов: считыватель (получивший, кстати, Red Dot Award 2020), контроллеры (уверены, как минимум один из них, тоже получит), серверная часть системы. Заниматься будем как поддержкой существующего функционала, так и реализацией нового, в том числе выводом новых продуктов на рынок. Мы предлагаем:- Возможность участия в полном цикле разработки нашего продукта от идеи до реализации и сопровождения.- Индивидуальный подход. Учитываются предпочтения по желаемым направлениям развития. Отсутствие формальных потолков и ограничений на темп роста.- Комфортное рабочее место, оборудованное под вас (Mac/Win/Linux, Notebook/PC, два монитора, кресло на выбор).- Современный комфортный офис в 5 мин от ст.м. Московская.- Гибкий график, отсутствие немотивированных рамок и ограничений в работе, излишней бюрократии.- Конкурентную белую заработную плату, полный соц.пакет, ДМС.- Корпоративные мероприятия, возможность посещения выставок, семинаров, конференций. - Удалённую работу на время режима самоизоляции!",2020-10-15
