vacancy_id,vacancy_name,url,source,salary_from,salary_to,currency,location,company,skill_set,description,publication_date
39817392,Java developer (команда Billing),https://hh.ru/vacancy/39817392,HH,2500,,USD,Минск,HeadHunter,"['spring', 'git', 'javascript', 'css']","Зона ответственности нашей команды — это предоставление инструментов для работы с финансовой отчетностью компании, обеспечение сервисных модулей информацией и средствами управления текущими услугами, ценами и счетам наших клиентов. У нас много интеграции с разнообразными внешними системами, банками, агрегаторами платежей, а также внутренними вспомогательными модулями, такими как 1C, CRM, Tableau. Так что у нас очень много ценных данных и много бизнес логики обслуживающей эти данные … и да ... конечно же, еще у нас особое внимание уделяется стабильности и слаженности работы всех наших модулей, ведь от нас зависит прибыль компании!Чем предстоит заниматься:  Развитие и поддержка известного сервиса Участие в определении направления развития архитектуры приложения и выборе технологий. Создание нового и оптимизация работы имеющегося функционала. Повышение надежности и качества системы на всех уровнях.  Требования:  Знание основных алгоритмов и структур данных Хорошее владение Java и опыт объектно-ориентированного программирования. Знание основных библиотек и шаблонов проектирования. Умение использовать Git и Maven Знание фреймворков Spring (core), Hibernate Опыт проектирования и использования REST API, разработки в микросервисной архитектуре Опыт разработки БД: реляционная алгебра, индексы, оптимизация запросов Желание находить новые решения, осваивать новые технологии Желание и способность делиться знаниями через семинары, работу в паре, code-review  Будет плюсом:  Опыт работы с Postgresql Опыт работы с Rabbit MQ Знакомство с ОС Ubuntu или другими ОС семейства Linux Опыт работы с Ansible, Docker Опыт работы по гибким (Agile) методологиям Участие в разработке веб-проектов с большой нагрузкой Знание python Опыт работы с Javascript, особенно React  Мы предлагаем:  Удобное расположение офиса: пр-т Дзержинского, 57, БЦ Омега Тауэр, ст.м. Михалово Работу в компании, являющейся резидентом ПВТ Комфортное рабочее место Корпоративное ДМС после завершения испытательного срока Электронная корпоративная библиотека Кофемашина с зерновым кофе, чай, фрукты, йогурты на кухне Активная корпоративная жизнь Молодой, профессиональный и дружный коллектив; Возможность профессионального развития, обучение за счёт компании, участие в специализированных конференциях; Достойный уровень заработной платы; ",2020-10-15
37840743,Младший Java разработчик,https://hh.ru/vacancy/37840743,HH,100000,140000,RUR,Москва,МойСклад,"['postgresql', 'hibernate', 'css']","Кто мы: Мы – команда МоегоСклада. Уже больше 12 лет развиваем и продаем веб-сервис, упрощающий жизнь малому и среднему бизнесу. Помогаем вести складской учет, управлять продажами и закупками, печатать необходимые для ведения бизнеса документы. У нас налажен и постоянно развивается процесс разработки. Сделанные в первый день работы тикеты могут уже завтра быть на проде. Продукт большой и сложный, пользователи активно делятся пожеланиями. Мы придумываем как реализовать полезный для людей продукт – и делаем. Кто вы:   Пишете на Java уже больше полугода   Знаете алгоритмы и структуры данных   Умеете писать SQL-запросы   Идеально, если работали с EJB   У нас вы:   Будете добавлять новые и улучшать существующие функции сервиса: простой и удобный интерфейс для продавцов, графики и аналитику для руководителей (основной стек технологий: WildFly, EJB, Hibernate, PostgreSQL) и писать интеграционные тесты   Будете разрабатывать клиентскую часть веб-приложения (пользовательский интерфейс и бизнес-логику) при помощи GWT и UI-тесты   Что еще:   Оформляем по ТК РФ с первого дня   Платим зарплату 100-140 тысяч рублей (после налогов, на руки)   Гибкое начало рабочего дня   Можно работать удаленно или в нашем комфортном офисе — в Москве в пяти минутах от метро Технопарк   Дарим фирменный мерч (пледы, толстовки, кружки, и т.д.)   Бюрократия сводится к заявлениям на отпуск и компенсацию обучения   В офисе - компенсируем оплату обедов, закупаем фрукты и перекусы.   Профессиональное развитие (оплата обучения, корпоративная библиотека, выступления на конференциях) и выдаем лицензию IDEA   5 дней без больничного в год, если неважно себя чувствуете   Компенсируем больничные и отпуска до текущего дохода   И, конечно, подключаем к ДМС после окончания испытательного срока   Процесс отбора, если ваше резюме нам интересно:  Возможно, тимлиды захотят предварительно созвониться на 30 минут для мини-интервью. Стараемся проводить все основные этапы за одно собеседование. Первый этап – с тимлидами команд, в которые идет подбор, второй – с CTO, всё вместе занимает около двух часов. Максимум через несколько дней (чаще – часов) принимаем решение и даем обратную связь. ",2020-10-13
39415806,Java разработчик / поддержка клиентов (возможно удаленно),https://hh.ru/vacancy/39415806,HH,300000,,RUR,Москва,МАР Солюшенз,"['spring', 'sql', 'postgresql', 'javascript', 'jdbc']","Java разработчик / поддержка клиентов (возможно удаленно) В компанию, специализирующуюся на разработке ПО в области противодействия мошенничеству на финансовых рынках, требуется Java-разработчик уровня Senior / Team Lead. Компания работает и прибыльна. Свободный график. Возможна работа из дома. Обязанности:  работа над доработкой, внедрением и поддержкой собственного программного продукта, используемого в различных финансовых организациях. Основной стек технологий: Java 11 / Spring / PostgreSQL / React.  Требования:   Обязательно уверенное знание технологий: Java 8/11 (опыт от пяти лет), Spring (Core, JDBC, Transactions, Web), REST-сервисы, реляционные БД и SQL (опыт от двух лет).   Приветствуется опыт: финансовые рынки, JavaScript, React, Spring Security, Spring Boot.   Условия:   Размер заработной платы 300 т.р. в месяц.   офис в самом центре Москвы рядом с метро.  ",2020-10-14
39836472,Java Разработчик,https://hh.ru/vacancy/39836472,HH,90000,120000,RUR,Москва,Скиф Эпп,['postgresql'],"Ищем Java Разработчика для разработки и доработки веб приложений с использованием play framework/akka/postgresql (или др) Что делаем:  платформа мониторинга транспорта, системы контроля и управления доступом, системы ""умный дом""; сервис доставки еды; и другое (все расскажем).  Все направления живые и активно используются. Ожидаем:  уверенные знания Java; опыт работы в Back End разработке обучаемость и стремление развиваться опыт работы с Git способность читать английский язык на уровне базового понимания технической литературы  Условия работы:    находимся в Москве. Офис на Ленинском. График 5/2; заработная плата по результатам собеседования 90-120к, выплачивается два раза в месяц: 50% аванс до 15-го числа, 50% оклад до конца месяца; отпуск согласно ТК РФ (28 дней в году). Право на отпуск после первых 6 месяцев работы;   ",2020-10-15
39306708,Java-разработчик,https://hh.ru/vacancy/39306708,HH,140000,,RUR,Москва,РеИнформ Инт.,"['spring', 'sql', 'junit']","Обязанности:  Разработка на Java серверных компонент для клиент-серверных приложений; Разработка интеграционных компонент и сервисов на Java; Участие в тестировании разработанных компонент, подготовке проектной и рабочей документации.  Требования:  Высшее профильное образование; Опыт разработки Java-приложений на J2EE; Опыт JUnit, Ant, Maven; Чтение технической документации на английском.  Желательно (было бы +):  Знание Spring Framework; Знание СУБД Postgre SQL; Опыт работы с серверами приложений Java (Tomcat, JBoss, Glassfich и др.); Опыт работы в test-driven development желателен; Опыт работы в командах гибкой разработки ПО.  Мы предлагаем:  Работа в стабильной IT-Компании; Участие в уникальных проектах для крупных российских заказчиков, в том числе государственных; Свободу в выборе решений; Профессиональную команду, которая всегда поддержит и поделится опытом; Дружный коллектив; Стабильную заработную плату и уверенность в завтрашнем дне; Трудоустройство согласно ТК (оплата больничных листов и отпуска).  Мы приглашаем в нашу команду талантливых, амбициозных, нацеленных на максимальную самореализацию людей, готовых расти и развиваться вместе с нами.",2020-10-14
39495722,Java developer,https://hh.ru/vacancy/39495722,HH,200000,220000,RUR,Казань,АйТиКвик,['docker'],"Ищем Senior Java разработчика для решения задач развития продукта, а также, для улучшения производительности и стабильности пользовательского интерфейса. Продукт - платформа для автоматизации обработки и подготовки больших данных на основе микросервисов, API-интерфейсов и искусственного интеллекта. Мы пишем unit и интеграционные тесты и делаем ежемесячные релизы. Стек проекта:- backend: java8, spring- docker, jenkins- система контроля версий perforce, swarm (code review)jira, confluence Условия работы: - удаленная работа в команде; - команда русскоговорящая, но вся информация о продукте - на английском. Соответственно, уровень владения языком должен быть достаточным, чтобы это не было блоком для решения задач. Откликаясь на данную вакансию, укажите удобный способ для быстрой связи, спасибо.",2020-10-13
39779419,Junior Java Developer,https://hh.ru/vacancy/39779419,HH,,,,Москва,Инфо Контрактор,['sql'],"В связи с развитием функционала ищем специалистов с опытом работы с Oracle ADF, а также тех, кто готов учиться и развиваться. Наши ожидания от соискателя:   знание java core 8 (знание мультипоточности не требуется) базовые знания реляционных баз данных (нормальные формы) базовые знания sql (желательно - с особенностями oracle) желательно - понимание основ JSF желательно - базовые знания графовых алгоритмов  Обязанности:  Разработка приложений с использованием Oracle ADF  Условия:   Полное соблюдение норм ТК РФ. Работа в команде экспертов в своей области; всегда подскажем, если возникнут вопросы. Конкурентоспособная заработная плата (уровень заработной платы обсуждается индивидуально по результатам собеседования). Режим работы обсуждается индивидуально. Пн-Пт, гибкое начало и окончание дня. Место работы: Москва, м. Дмитровская (в связи с расширением планируем переезд в новый офис в районе м. Селигерская). ",2020-10-13
39832110,Java-разработчик,https://hh.ru/vacancy/39832110,HH,150000,250000,RUR,Москва,Опендэв,"['sql', 'hibernate', 'soap', 'jdbc', 'mongodb']","OpenDev - компания, специализирующаяся на разработке программного обеспечения, web-сервисов и мобильных приложений для корпоративных заказчиков. Мы создаём современные программные решения и удобные приложения для себя и наших партнеров. Работаем с передовым стеком технологий, и пишем действительно качественный и чистый код.Наши заказчики - крупные российские и зарубежные компании.Работаем кросс-функциональными командами в Москве, Санкт-Петербурге, Краснодаре, Саратове и др. регионах.Предоставляем помощь при переезде! Наша команда активно растет в связи с постоянным увеличением количества проектов. Приглашаем java разработчиков вместе реализовывать сложные и интересные задачи по разработке высоконагруженных и отказоустойчивых систем для компаний федерального уровня. Нашими продуктами пользуются миллионы людей! У каждого проекта есть своя специфика, но на большинстве мы используем следующий технологический стек:  java, начиная от 8 и выше; Spring (Cloud, Boot, MVC, Security); REST/SOAP; MySQL / MS SQL / Oracle / MongoDB; JPA / Hibernate / JDBC; Docker /Kubernetes; Методология разработки: Scrum (спринт по 2 недели); Проводим тестирование кода используем unit-tests, TDD, BDD.  Что предлагаем:   Официальное трудоустройство по ТК РФ;   Возможен удаленный формат работы;   ДМС, включая стоматологию в лучших клиниках города;   Курсы английского языка;   Помощь в релокации для сотрудников из регионов (оплата билетов, проживания);   Гибкий старт рабочего дня;   Передовое оснащение рабочего места, мощная техника;   Профессиональное развитие (организуем митапы и участвуем в IT конференциях);   Корпоративные вечеринки;   Уютно как дома (есть зерновой кофе, кикер, видеоигры) и никакого дресс-кода.  ",2020-10-15
39804608,Java Developer,https://hh.ru/vacancy/39804608,HH,120000,,RUR,Москва,Right Line,"['spring', 'sql', 'git', 'junit']","Обязанности:  Участие в развитии интересных и амбициозных проектов в области fintech; Работа в распределенной команде, взаимодействие с внешними разработчиками, взаимодействие с техническими специалистами заказчика; Развитие существующих проектов, техническое сопровождение, рефакторинг; Написание юнит-тестов и интеграционных тестов; Экспертный анализ бизнес‐требований и технических решений, проведение кодревью; Активное участие в развитии команды.  Требования:  Опыт профессиональной/коммерческой разработки на Java/Spring/SpringBoot от 1 лет; Умение конструктивно аргументировать свою позицию и адекватно реагировать на аргументы коллег; Опыт работы с СУБД и знание SQL (желательно Oracle); Опыт разработки web-ориентированных систем и хорошее понимание HTTP; Опыт работы с системами сборки (Gradle, Maven) и с фреймворками для тестирования (JUnit, Mockito, Spock, Spring-test); Опыт работы с инструментами командной разработки (Git, Jira, Confluence, Stash, Gitlab); Опыт работы с Linux (в качестве рабочих станций у нас Ubuntu); Знание английского языка на уровне чтения технической документации.  Условия:  Заработная плата определяется по результатам собеседования, трудоустройство по ТК РФ; Зарплата полностью ""белая""; Отличный дружный коллектив профессионалов и очень лояльное руководство; Хорошие перспективы карьерного роста; График 5/2 с гибким рабочим днем; ",2020-10-14
39764317,Стажер-программист Java,https://hh.ru/vacancy/39764317,HH,25000,,RUR,Екатеринбург,Ренью,['spring'],"Приглашаем на стажировку junior Java-разработчиков! IT-Компания Renue запускает стажировку с перспективой дальнейшего трудоустройства. Наш основной продукт связан с автоматизацией таможенных процедур. Мы разрабатываем ПО, которое ускоряет работу Федеральной таможенной службы, что позволяет клиентам быстрее получать свои посылки и товары (с AliExpress или, например, Amazon). Кроме того, у нас запущен проект от Центра развития перспективных технологий (ЦРПТ), связанный с системой маркировки и прослеживания различных групп товаров. Наши системы расположены в 10 центрах обработки данных от Питера до Владивостока: это высоконагруженные, отказоустойчивые комплексы с общим трафиком более миллиона транзакций в день. Есть клиентские модули, в которых каждый день работают таможенные инспекторы по всей стране.   Планируем создать команду стажеров, которые будут работать над высоконагруженым сложным проектом. Вас будут курировать опытные разработчики, будет предоставлена теоретические материалы, будет проводиться code review. Основной стек проекта Java, Spring Boot, Hazelcast, IBM WebSphere MQ, Oracle.   Нам хотелось бы видеть в своей команде человека заинтересованного, готового обучаться, способного проявлять самостоятельность в решении задач, а также увлеченного сферой IT.   Что для нас важно: - чтобы вы уже имели опыт написания кода (учебный проект, личные проекты, желательно java, возможно c#); - теоретические базовые знания (алгоритмы; базы данных и т.д.); - профильное высшее образование. В приоритете выпускники или студенты матмеха или радиофака УрФУ (готовы рассмотреть студентов 3 курса и старше).   Что мы предлагаем: + стажировка длится 4 месяца, по ее итогам принимаем решение о трудоустройстве; + пока удаленный формат работы, после карантина планируем вернуться в офис (Строгановъ, дом контор, ул. Карла Либкнехта, 5). Кандидатов из других городов готовы рассмотреть только с переездом; + зарплата стажера от 25 000 рублей при полной занятости, то есть 40 часов в неделю. После прохождения стажировки обсуждаем пересмотр заработной платы; + заключаем трудовой договор с первого рабочего дня; + прокачку скиллов и профессиональное развитие гарантируем     Буду рада сориентировать по всем вопросам – Дарья, HR",2020-10-12
