vacancy_id,vacancy_name,url,source,salary_from,salary_to,currency,location,company,skill_set,description,publication_date
39800181,Strong Middle - Senior Python/Django Developer,https://hh.ru/vacancy/39800181,HH,2500,4000,USD,Киев,Intobi,['django'],"We are an Intobi company, located in Ukraine, Kyiv. We're looking for a success-driven Middle - Senior Python/Django Developer for one of our clients from the USA. Full-Time, Long-Term position. About the project USA based project. It is related to Artificial intelligence / Machine Learning solutions integrating heterogenous healthcare data for anomaly detection, monitoring, and enhanced decision making. For now, we're finishing the MVP and going to scale. Requirements - Minimum 2-3+ years of experience in Python/Django- Experience with AWS- English: Upper-Intermediate or above What we offer - Ability to work from our cozy office;- 8 hours working day, 5 days a week;- Career growth potential;- Friendly team and corporate events;-Competitive salary Please send your CV here or via email Should the first stage be completed, you'll be invited to a personal interview.",2020-10-15
39795875,Python Developer,https://hh.ru/vacancy/39795875,HH,2000,2200,USD,Санкт-Петербург,Openprovider,"['django', 'postgresql']","Openprovider is a wholesaler of domains, extensions, Plesk licenses, and other flexible solutions through our user-friendly, fully automated platform. The company was founded in 2004 in Rotterdam, Netherlands. Now we are a team of 60 people, we have offices in the Netherlands, Spain, Russia, and India. Procys is a part of Openprovider, and its core mission is to help automate business processes in accounting, tech support, and fraud detection. We build machine learning solutions that are employed at Openprovider (domain provider), Globiq (invoice processing provider), Bunq (electronic bank), and others. We are looking for an experienced backend Python developer who would help with delivering Machine Learning solutions to customers. With the advancement of our products, you are expected to grow and lead the dev team in the future. Tasks: - Optimizing/scaling up Machine Learning pipelines - Integrating ML solutions to third-party environments (API) - Deploying ML solutions to GCP and AWS   Requirements: - 2+ years of experience in software development (Python + Django) - Knowledge of PostgreSQL or MySQL - Knowledge of Docker - Good English level (at least Intermediate)   Nice to have: - Experience with AWS and GCP - Experience with ML architecture - Computer science degree (or similar)   We offer: - Compensations for ML and dev conferences - Fully remote work with a possibility to use coworking spaces - Flexible working hours",2020-10-13
38992679,Разработчик Python,https://hh.ru/vacancy/38992679,HH,120000,,RUR,Нижний Новгород,Neuro.net,"['linux', 'postgresql']","Neuro.net - международный проект в области Conversational AI. Наша команда объединяет ученых, инженеров и экспертов нейронных сетей и машинного обучения. Наша миссия - создавать технологии, которые могут полностью заменить человеческий труд искусственным интеллектом в сфере продаж и обслуживания клиентов. Основным достижением нашего продукта является то, что клиент не чувствует разницы между ботом и человеком. Прикладные технологии не ограничиваются алгоритмами распознавания речи и синтеза голоса. Предоставляемый сервис позволяет построить реальный диалог между клиентом и ботом на естественном языке. Другая необходимая составляющая успеха - сильная команда. Коллектив Neuro -это профессионалы, решившие объединиться для достижения амбициозной цели. И сейчас мы ищем в свою команду разработчика Python для разработки телеком части системы. Если ты не боишься сложных и интересных задач, то ниже наши ожидания от кандидата и условия, которые мы предлагаем для комфортного творчества. Задачи: -Разработка телеком части коммуникационной платформы Необходимые навыки: - Опыт разработки на Python от 1-го года - Базовые знания Linux (мы надеемся, что кандидата не пугает командная строка) - Опыт работы с PostgreSQL (SQLAlchemy) - Базовые навыки Git - Опыт работы с FreeSWITCH или Asterisk - Понимание модели OSI и протоколов высокого уровня Очень хорошо если у вас есть опыт или просто желание изучить: asyncio Что предлагаем: Отсутствие легаси-кода Классный современный офис в центре города Работу над интересным проектом со сложными задачами Достойную, стабильную и прозрачную компенсацию труда Официальное трудоустройство, полностью ""белая"" зарплата Приятные бонусы: Молодой и дружный коллектив Гибкий график работы Отсутствие дресс-кода ДМС со стоматологией Чай, кофе, печеньки Курсы английского  ",2020-10-13
39822166,Разработчик Python,https://hh.ru/vacancy/39822166,HH,180000,,RUR,Москва,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,"['django', 'git', 'docker', 'redis', 'postgresql']","В проект, реализуемый совместно с АНО ""Центр перспективных управленческих решений"" ищем разработчика Python Цель проекта - опубликовать данные о государственном управлении, находящиеся на данный момент в Счетной палате. Обязанности:  Разработка приложения на Django 2.x/3.x Разработка интеграций с различными внешними системами Участие в полном цикле разработки - программирование, тестирование, поддержка, написание техдокументации    Требования:  Хорошее знание Python 3 в целом и Django 2.x/3.x в частности Опыт проектирования и развития REST API Опыт работы с реляционными (PostgreSQL) и не реляционными БД (Redis, MongoDB) Знание git, git flow Опыт написания юнит-тестов Умение адекватно оценивать задачи и выполнять их в срок Дополнительные требования: будет плюсом: Опыт работы full-stack разработчика Опыт работы с контейнеризацией (Docker, Docker Compose) Опыт администрирования *nix серверов (ubuntu/debian) Понимание принципов непрерывной интеграции и поставки (CI/CD)  Условия:  Официальное оформление, стабильная выплата заработной платы. Территориально 2 офиса: Газетный переулок/Зубовский бульвар. Можно работать удаленно, но с периодическими приездами в офис по мере необходимости Команда нацелена на достижение результата, много молодых сотрудников - выпускников технических ВУЗов, сейчас заинтересованы в поиске Middl Возможность быстрого профессионального роста; Участие в проекте на государственном уровне, но быстром в реализации. ",2020-10-14
39844911,Python разработчик (Django),https://hh.ru/vacancy/39844911,HH,100000,150000,RUR,Москва,Апптимизм,"['django', 'git', 'docker', 'postgresql']","Что мы делаем: Мы разрабатываем b2b решение в области мерчендайзинга. Простым языком - наша платформа позволяет крупным производителям и поставщикам контролировать выкладку их товаров в магазинах партнеров - торговых сетей. В текущий момент мы уже вышли на рынок и находимся на этапе роста и масштабирования продукта. Под капотом у нас сложная бизнес-логика и относительно большие нагрузки. Что мы ожидаем от тебя: Мы используем Django, Django Rest Framework, Postgresql, Celery. Опыт в применении этих инструментов будет большим плюсом, но если ты уверенно чувствуешь себя в любом другом веб-фреймворке и готов сменить стек, мы можем это обсудить. Для нас важнее системное мышление, умение писать читабельный и поддерживаемый код, понимание базовых принципов работы баз данных и построения запросов, основных архитектурных подходов, алгоритмов и структур данных. Обязательно владение git, и совсем замечательно - если если есть опыт работы с docker, docker-compose и понимание DevOps методологии, поскольку мы уверенно стремимся в светлое будущее непрерывной интеграции и автоматического деплоя. Почему именно мы: - Потому что мы не галера, где тебе придется грести от дейли стендапа до обеда, а маленькая компания с семейной атмосферой; - А это значит, что у нас нет всяких бюрократических штук, которые отвлекают разработчика от процесса; - И твой голос будет иметь вес в принятии решений по проекту и организации рабочего процесса; - А еще у нас нет грейдов, и твой рост ограничен только тем вкладом, который ты вносишь в проект, а не бездушной табличкой с требованиями; - У нас есть опытные товарищи, которые всегда готовы подсказать и подстраховать тебя, но если ты чувствуешь в себе силы - мы готовы дать тебе свободу действий.",2020-10-15
39833209,Python Engineer,https://hh.ru/vacancy/39833209,HH,,,,Минск,SaM Solutions Самсолюшнс,['docker'],"SaM Solutions have opened Python Developer position for participating in data science and cloud native projects. Describing of project and responsibilities: Support for data science development tasks in Machine Translation, including e.g. a) Optimization and transfer of containerized ML MVP webservices to Test/Production Kubernetes platform;b) Setting up an efficient CI/CD pipeline for machine learning models;c) Setting up and harmonizing procedures to version models and datasets;d) Perform NMT model performance optimization on the production cluster according to underlying infrastructure details;e) Setting up dashboards to gain an insight on model performance in production and send alerts. Requirements:  Fluent knowledge of Python; Knowledge of common standard ML Python libraries: e.g. Tensorflow and PyTorch; Experienced in optimization of ML models; Knowledge of Kubernetes and Docker; Experienced in CI/CD.  Our Benefits:  competitive salary; medical insurance; 100%-paid sick leave; excellent opportunities for professional development; language course and other professional programs; casual and fun office environment. ",2020-10-15
39817608,Python-разработчик (удаленно),https://hh.ru/vacancy/39817608,HH,100000,160000,RUR,Санкт-Петербург,Cellar door,"['django', 'git', 'docker', 'postgresql']","Наш клиент, компания Mastery.pro, с 2011 года ведет заказную разработку для зарубежных клиентов. И все 9 лет компания сотрудничает с ирландским заказчиком. Это разработка веб-сервисов по автоматизации фармацевтического бизнеса. Есть много успешно реализованных проектов. Что-то активно продолжает развиваться, что-то на поддержке. В компании три команды: Python, C# и Ruby. Сейчас открыта вакансия Python-разработчика в одну из команд, которая активно работает над разработкой роботизированной витрины (вендинговый аппарат), который выдает препараты. Это пятидюймовые интерактивные витрины, которые стоят в аптечных сетях и с которыми взаимодействует клиент самостоятельно. У заказчика есть планы по продаже этого решения в ритейл. Поэтому много работы связано с пресейлом и адаптацией бэкенда и фронтенда робота под новых клиентов и их бизнесы. Например, парфюмерный ритейл. Команда: PM, ТимЛид, 3 бэкендера, QA, 3 фронта, аналитик. Стек и инструменты: Python 3.2, Django, Docker, PostgreSQL, Git,GitLab. Задачи будут связаны с разработкой бэкенда витрины и API. Условия: Трудовой договор или договор с ИП. Вилка от 80 000 - 150 000 + на руки. Итоговые цифры после понимания уровня разработчика. График свободный, удаленка. Классная команда, различные корпоративные движухи, совместные выезды на концерты и т.д.Языковая школа, можно прокачать свой английский.",2020-10-14
37003043,Senior Python Developer,https://hh.ru/vacancy/37003043,HH,220000,,RUR,Санкт-Петербург,Цифровое проектирование,['mysql'],"Мы в компании NumDes разрабатываем сервисы для оптимизации расположения на карте инфраструктурных объектов, прокладывания сети дорог, труб, линий электропередач. Катим в production модели машинного обучения, решаем задачи по математике и просто пишем много кода :) Задач становится больше, задачи становятся сложнее, и мы ищем Senior разработчика/TechLead, который любит python, математику, умеет поддержать разговор на темы SOLID, ACID, GRASP, GoF и хочет заниматься разработкой сервисов с использованием свежих технологий.   Обязанности: В зависимости от навыков и желаний:  Разработка программных решений (R&D). Руководство группой разработчиков. Выстраивание процессов разработки в команде. Наставничество. Участие в проведении школ python-разработчика.  Обязательные навыки: Навыки и опыт:  Знание Python 3, умение писать многопоточный код. Наличие опыта использования библиотек numpy, scipy. Опыт работы с базами данных (MySQL, Postgres). Знание особенностей применения ORM (SQLAlchemy) при разработке многопоточных приложений Опыт разработки REST-сервисов с использованием фреймворков типа Flask/Django.  Персональные качества:  Ответственность. Позитив и желание развиваться.    Из бонусов мы предлагаем:  Замечательный коллектив. Интересные задачи и возможность профессионального роста. Гибкая премиальная система. Комфортный офис в шаговой доступности от метро. Оплата питания. ДМС (через полгода работы). Насыщенная корпоративная жизнь.  На время пандемии коронавируса только удаленная работа.",2020-10-12
39602570,Программист Python,https://hh.ru/vacancy/39602570,HH,120000,170000,RUR,Москва,Артистраж,[],"Обязанности:  Разработка новых проектов; Разработка архитектуры проектов и технологических решений; Поддержка и оптимизация действующих проектов;  Требования:  Опыт работы от 1 года Знание Python 3.6+ и других языков Знание алгоритмов и умение их строить Git Docker, docker-compose Gitlab CI/CD (или аналоги) Технический английский  Условия:  График 5/2, 11:00-20:00 Работа в офис в Москва Сити ",2020-10-15
39736489,"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/39736489,HH,60000,150000,RUR,Москва,Фабрика Решений,"['django', 'sql', 'html', 'css', 'postgresql']","Привет! Мы, студия fabrique, ищем классного junior или middle backend-разработчика на python (работа в офисе в Москве или удаленный фулл-тайм). Мы автоматизируем бизнес-процессы крупных заказчиков, создавая удобные и выверенные сервисы. В работе множество сложных, в том числе высоконагруженных, проектов, широкий спектр интересных задач. Основные технологии проекта: Django 2.2, DRF, PostgreSQL. Требования:  Опыт веб-разработки от одного года, программирования не менее трёх лет. Умение разбираться в чужом коде. Опыт разработки сложных проектов. Обязателен опыт работы с django 2.*, python 3.7, djangorestframework Знание SQL (в частности, PostgreSQL) и умение оптимизировать запросы. Умение составлять сложные SQL-запросы Знание регулярных выражений. Знание HTML/CSS/JS на базовом уровне. Английский язык на техническом уровне.  Внимание: с командами не работаем, только с индивидуальными исполнителями. Бонусы:  Удалённая работа в комфортное время Профессиональный рост и участие в построении архитектур сложных систем  В комментарии к отклику, пожалуйста, оставляйте свой ник в телеграме.",2020-10-12
