id,name,salary_from,salary_to,currency,area,skill_set,description
38814959,Junior Python developer,80000,140000,RUR,Москва,"['django', 'docker', 'postgresql']","Constanta специализируется на разработке собственных продуктов для букмекерской и спортивной индустрии: mobile/web решения (300k+ dau), инфраструктурные сервисы. Мы активно развиваем ML-направление, в прошлом году создали систему видеоаналитики спортивных событий в настольном теннисе. Мы хотим найти начинающего python разработчика, который помог бы нашей computer vision команде. В начале нужно будет участвовать в улучшении пре- и постпроцессинга данных, обрабатываемых нейросетью, а также в создании инструментов для тестирования качества распознавания. Неполный список технологий, которые мы используем: asyncio, PostgreSQL, mongo, RabbitMQ, Ansible, Docker. Что мы ожидаем: — Знание python 3.5+ — Желание работать не с Django. Мы совсем не используем Django в разработке. Плюсом будет знакомство с asyncio\aiohttp. — Понимание того, как работает HTTP и другие сетевые и транспортные протоколы — Понимание того, что такое Docker и зачем он нужен — Умение писать тесты (pytest) — Желание развиваться и делать свое дело классно Со своей стороны готовы предложить:  Комфортную среду для развития, мы всегда открыты к инициативам и экспериментам. Белую заработную плату, официальное оформление и соблюдение ТК РФ ДМС после полугода работы в компании  Что еще важно знать о нас:  Нас около 40 человек. У нас гибкий график, молодая команда и горизонтальная модель управления. Мы предоставляем бесплатные обеды для сотрудников, всегда есть фрукты/снеки, чай и кофе. У нас красивый и современный офис в пешей доступности от м. Красносельская, в офисе есть настольный теннис, кухня, камин и проектор для совместного просмотра фильмов. Работаем на MacBook Pro.  Если вам показалась наша вакансия интересной, напишите в сопроводительном письме информацию о своем опыте и вашей роли в команде, по возможности приложите ссылку на github (если есть)"
38660476,Программист Python,120000,170000,RUR,Москва,[],"Обязанности:  Разработка новых проектов; Разработка архитектуры проектов и технологических решений; Поддержка и оптимизация действующих проектов;  Требования:  Опыт работы от 1 года Знание Python 3.6+ и других языков Знание алгоритмов и умение их строить Git Docker, docker-compose Gitlab CI/CD (или аналоги) Технический английский  Условия:  График 5/2, 11:00-20:00 НЕ УДАЛЕННАЯ РАБОТА, офис в Москва Сити "
38897245,Python developer,160000,200000,RUR,Москва,"['c++', 'docker']","Ivideon — это самый популярный в мире облачный сервис видеонаблюдения через Интернет. Мы помогаем анализировать бизнес: понимать как часто возникают очереди, сколько людей заходит в магазин, а сколько проходит мимо, какой средний чек, что люди покупают. Глобально мы идем в сторону middleware платформы, которую легко развернуть и интегрировать в любую систему, которой нужен облачный видеостриминг. У нас собственные подсистемы кодирования видео, распределённое хранилище архива c петабайтами данных, видеоаналитика и ещё десятки микросервисов для разных задач. Всё это работает на стеке Python 3 (Tornado и Asyncio), C++/Asio, MongoDB, Docker, Consul. В ближайшем беклоге: продвинутый b2b биллинг, ряд сложных задач для Core-продукта. Сейчас мы ищем сильных разработчиков, которые:  Вместе с нами будут разрабатывать бекенд Ivideon; Проектировать архитектуру новых сервисов; Разрабатывать API приложений и интеграции;  Что мы ждём от кандидатов:   Опыт командной разработки на Python. Отлично, если работали с Tornado, Asyncio или aiohttp - у нас это всё есть;   Опыт разработки микросервисов;   Кратко про нас и что предлагаем:   Очень дружный, профессиональный коллектив, неформальная атмосфера и интересный международный проект.   Мы приветствуем свободу и гибкий график. Работа в офисе в Москве на ст. м.Менделеевская/Новослободская.   Удобная кухня в офисе с чаем/кофе и запасами печенья, тортиков, сладостей, фруктов и прочего.   Соц.пакет: ДМС после испытательного срока, корп.английский.   Настольный теннис для любителей активного отдыха и массажное кресло для всех остальных, часто играем в настольные игры и начали формировать команду для соревнований по пейнтболу.   Всячески поддерживаем инициативу. В том числе по развитию и профессиональному росту сотрудников, помогаем с покупкой необходимой профессиональной литературы и инструментов для разработки.   Высокий уровень дохода по результатам интервью. Оформление по ТК РФ с первого дня. Всё белое.   Оставьте свой отклик, мы свяжемся по удобному для вас каналу связи. Наш диалог пройдет в два этапа, мы познакомимся по скайпу, а потом пригласим к нам в офис."
38383537,Программист Python,120000,220000,RUR,Москва,"['django', 'docker', 'javascript', 'redis', 'postgresql']","Мы в Insilico Medicine применяем современные модели машинного обучения для поиска новых лекарств и исследования старения, делаем веб-сервисы и инфраструктуру для построения экспериментов и работы с биомедицинскими данными. У нас есть партнерства и совместные проекты с крупными фармацевтическими компаниями и институтами. В Insilico работают сильнейшие специалисты в области медицинской химии, биоинформатики и машинного обучения из России, США, Китая, Тайваня, Бельгии, Польши. Ищем коллег в команду разработки для развития платформы по поиску новых лекарств с помощью машинного обучения. Вы станете частью мультидисциплинарной команды, работающей в тесной коллаборации с нашей исследовательской группой. Требования:   Техническое образование или эквивалентный практический опыт   Хороший опыт разработки на Python   Опыт разработки веб-приложений   Алгоритмическая подготовка   Опыт с некоторыми из технологий из списка: Django, GitLab, Docker, Kubernetes, Nginx, PostgreSQL, Mongo, Redis, Celery, Elasticsearch, JavaScript, React, Angular, Airflow, Sentry, Grafana, Kibana, Prometheus, AWS, Tensorflow, PyTorch   Условия:   Работа в офисе в Технопарке Сколково   Гибкий график и возможность работать удаленно несколько дней в неделю   Амбициозные и интересные задачи   Бонусы по итогам успешной работы  "
38624353,Python-Разработчик (удаленно),,250000,RUR,Москва,"['django', 'docker', 'postgresql']","BestDoctor — медицинская компания, которая создает технологичные страховые продукты для людей и для бизнеса. У нас больше 100 клиентов (например, Ozon, ostrovok.ru, vc.ru, ivi.ru), которым мы каждый день помогаем с медицинскими услугами: консультируем и записываем на прием сотрудников, избавляем от бумажной волокиты. С нами вы будете работать в лофте у метро Савеловская, в продуктовых командах по 3-6 человек, с белой зарплатой в рынке, возможностью влиять на процессы разработки и архитектуру приложений, с ДМС, возможностью удалённой работой и компенсацией затрат на обучение. В нашем процессе разработки всё предсказуемо, понятно и без авралов: недельные неизменяемые спринты, минимум отвлечений от задач и достаточное количество общения, чтобы было понятно, что именно нужно делать. Кроме этого мы развиваем наш код в открытом доступе, раз в две недели проводим внутренние митапы для разработчиков, делимся конспектами прочитанных технических книг, релизим код несколько раз в день, используем последний стабильный Python, пишем много тестов и никогда не перерабатываем. Мы ожидаем, что вы занимаетесь коммерческой разработкой на Python от 2 лет, хорошо знаете сам язык, Django, умеете работать с PostgreSQL и у вас есть опыт работы в команде: умеете делать ревью, вести конструктивный спор, соблюдать процессы и воспринимать фидбек. Подробнее о нетехнических требованиях можно почитать в наших грейдах. Наш стек: Python 3.8, Django, aiohttp, Graphene, DRF, mypy, pytest, flake8, Docker, PostgreSQL, Selenium. Наши разработчики занимаются разработкой, но берут на себя более сложные задачи: долгоиграющий рефакторинг, новый сервис или новый модуль существующего, исследование и решение сложный проблем. Продакт-менеджер и тим-лид команды помогают довести задачу до конца и сделать именно то, что нужно. Несколько ссылок, чтобы было лучше понятно, как выглядит работа у нас. Вот наш стайлгайд написания кода на Python (github.com/best-doctor/guides/blob/master/guides/python_styleguide.md), вот наши грейды для разработчиков (github.com/best-doctor/grades), а вот доклад о наших процессах разработки https://www.youtube.com/watch?v=8lSG028Z2Vg&feature=youtu.be"
38715377,Python - Software Engineer,2500,4000,USD,Москва,['docker'],"Software Engineer Particle.One develops machine learning models for commodity markets. Our customers are quantitative hedge funds, asset managers, commercial banks, producers, and consumers of commodities. The ideal applicant:   Is proficient in Python   Is knowledgeable about algorithms and data structures   Has strong analytical and reasoning skills   Is proficient in working and debugging a large codebase   Writes unit tests for his / her code   Is familiar with Pragmatic programmer, Code complete and agrees with Joel coding suggestions   Proficient in English (all the communication among the team members are exclusively in English)   Contribution to projects on GitHub is a plus   Knowledge of finance/economy is a plus, but not required   Technology stack:   Python 3.6+   PostgreSQL, MongoDB, Airflow, Docker, Ansible   AWS   Bash, Linux   Examples of tasks:   Write code to connect to a provider Rest API, transform data, write into MongoDB     Write a python script to iterate over time-series data stored in MongoDB and compute stats (e.g., min/max timestamp)   Write a python script to export data from CSV into Google Sheets and vice versa, dealing with Google OAuth   Write code to scrape a data provider like https://comtrade.un.org/ with Scrapy   Implement an Instrument Master mapping metadata for financial data onto time-series data   Implement a Rest API using OpenAPI / Swagger   Perks:   Full-time position   Сompensation paid in US dollars   Work with world-class researchers   Spend time learning new technologies and improving the craft of coding   Build beautiful software products   Remote work   Interviewing process:   Introductory interview   Take-home exam with a sample problem (or GitHub project portfolio)   Interview with Tech manager in English   Offer discussion  "
38715378,Python - Software Engineer,2500,4000,USD,Киев,['docker'],"Software Engineer Particle.One develops machine learning models for commodity markets. Our customers are quantitative hedge funds, asset managers, commercial banks, producers, and consumers of commodities. The ideal applicant:   Is proficient in Python   Is knowledgeable about algorithms and data structures   Has strong analytical and reasoning skills   Is proficient in working and debugging a large codebase   Writes unit tests for his / her code   Is familiar with Pragmatic programmer, Code complete and agrees with Joel coding suggestions   Proficient in English (all the communication among the team members are exclusively in English)   Contribution to projects on GitHub is a plus   Knowledge of finance/economy is a plus, but not required   Technology stack:   Python 3.6+   PostgreSQL, MongoDB, Airflow, Docker, Ansible   AWS   Bash, Linux   Examples of tasks:   Write code to connect to a provider Rest API, transform data, write into MongoDB     Write a python script to iterate over time-series data stored in MongoDB and compute stats (e.g., min/max timestamp)   Write a python script to export data from CSV into Google Sheets and vice versa, dealing with Google OAuth   Write code to scrape a data provider with Scrapy   Implement an Instrument Master mapping metadata for financial data onto time-series data   Implement a Rest API using OpenAPI / Swagger   Perks:   Full-time position   Сompensation paid in US dollars   Work with world-class researchers   Spend time learning new technologies and improving the craft of coding   Build beautiful software products   Remote work   Interviewing process:   Introductory interview   Take-home exam with a sample problem (or GitHub project portfolio)   Interview with Tech manager in English   Offer discussion  "
38714442,Junior Python Developer,40000,45000,RUR,Санкт-Петербург,"['django', 'linux']","В дружную высокопрофессиональную команду динамично развивающейся компании для работы в офисе требуется python backend разработчик уровня junior. Работа над крупными интернет корпоративным проектом (собственное ПО).Разработка архитектуры приложений на всех этапах, согласно утвержденному ТЗ Что мы ходим видеть в нашем сотруднике:  Опыт коммерческой разработки на Python/Django от полугода(обязательно!); Уверенное знание теоретических основ программирования на языке Python; Умение разбираться в чужом коде, производить рефакторинг и оптимизацию; Желательно хорошее знание Linux (Debian/Ubuntu) или других *nix; Рассматриваются кандидаты, готовые к переезду в Санкт-Петербург, Россия.  Наши условия:   Обязанности на первый период: помощь в построении отчётности и выгрузок. С перспективой заниматься в дальнейшем более интересными задачами;  Гибкое начало рабочего дня; Работа в сильной команде профессионалов, крупный отдел; Временно удалённая работа (до снятия особого режима); Компенсация обучения английскому языку; Интересные задачи в финансовой сфере; Участие в конференциях; Шикарный кофе); Территориально - центр города. "
38856319,Стажер-программист Python,,,,Нижний Новгород,[],"В длительный быстрорастущий проект по разработке функциональных модулей автомобильной электроники требуются программисты Python. Обязанности:  Автоматизации тестирования модулей Base Signalling Processor, Multimedia & System Services автомобильных мультиемедиа-систем  Требования:  Python experience, real tasks accomplished using Python Pytest (or similar unit test framework) (желательно) FTP / Telnet / SSH (приветствуется) TCP/IP + UDP/IP Английский: read  Условия: График работы составляется с учетом учебного расписания студента. Стажер получает ежемесячную стипендию и пользуется всеми преимуществами, предусмотренными для сотрудников. Вы проходите экзамен по итогам стажировки и в случае успеха становитесь полноправным членом нашей команды!  "
38732890,Python Data Scientist,150000,,RUR,Москва,"['sql', 'docker']","Приглашаем специалиста по Data Science для работы в проекте ""Ноосфера"" (система решений по выявлению новых знаний о предпочтениях и интересах пользователей на основе больших массивов данных) для разработки новых подходов к аналитике данных. У нас в компании вы будете иметь возможность получить уникальный опыт в работе с данными всего русскоязычного интернета. Наш идеальный кандидат - целеустремленный и активный человек, не боящийся стать первооткрывателем, а также готовый решать задачи, для которых нужно применять state-of-the-art подходы. На текущий момент в проекте обрабатывается несколько сотен миллионов объектов в месяц, на основе этих данных мы строим различные автоматизированные сервисы для решения задач клиентов - выявление трендов, определение предпочтений пользователей, прогнозирование и т.п. Это огромное поле возможностей проявить себя.   Пожелания к кандидату (если получается делать хоть один из этих пунктов, смело откликайтесь):   Потоковая обработка данных.   Тематическое моделирование.     Построение моделей объектной тональности.  Решать задачи на стыке графовых структур и ML.  Работать с семантикой, синтаксисом и другими областями компьютерной лингвистики.  Выявлять предпочтения и рекомендации для миллионов объектов.  Находить аномалии и строить модели скрытых процессов.   Участвовать в разработке моделей сегментирования текстовых потоков данных.   Работать с современными подходами для анализа временных рядов.   Выявлять инсайты и участвовать в формировании бизнес-продуктов   Если Вы подходите под следующие требования, мы настаиваем на встрече:  Умеете программировать на Python.  Не боитесь сложной математики и можете разобраться со статьёй на arxiv и повторить это в коде.  Знаете базовые классические алгоритмы и структуры данных.  Знаете как устроены классические алгоритмы машинного обучения и принципы их работы.   Можете пользоваться REST-API и писать асинхронный код для его использования.   Имеете навык работы с базами данных SQL и построения запросов.     Стеки и инструменты: Python 3, venv, docker, jupyter-notebook, statsmodels, sklearn, pandas, numpy, xgboost, catboost, keras, tensorflow, gensim, nltk, PostgreSQL, MongoDB, ClickHouse.   Нейросети в какой-то из имплементаций (LSTM, GRU, word2vec, doc2vec, host2vec, CNN, attention, GAN, DSSM). Мы предлагаем:  Возможность принять участие в разработке уникальных востребованных технологий. Сплоченный, молодой коллектив профессионалов. Конкурентную заработную плату. Уютный офис в самом центре Москвы (5 минут от м.Театральная, м.Кузнецкий мост, м.Лубянка). Атмосферу стартапа с высоким уровнем свободы и доверия. "
